model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
"MLP (64,) relu",0.6318510858324715,0.6307958407467974,0.6323001197112338,0.6301780398021917,0.6296729315181732
"MLP (128, 64) relu",0.6220268872802482,0.6221370609339906,0.6224854403046556,0.6222545282118006,0.6217709323703113
"MLP (128, 64, 32) relu",0.6184074457083765,0.6151727534874064,0.6190375660872952,0.6151510968331536,0.614566526343124
"MLP (128, 64) tanh",0.609100310237849,0.6094680061907166,0.6095190701110998,0.6073979875519823,0.6068549502337617
