model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
All features,0.6240951396070321,0.6259580057476346,0.6246082574515879,0.6251938101498845,0.6246625779985301
SelectKBest(k=6),0.5356773526370218,0.5377199621560923,0.536162405846542,0.5356776945988622,0.5350792307242042
SelectKBest(k=10),0.562047569803516,0.5611766097519842,0.562794183477359,0.5616428723817223,0.5609222545782805
PCA(5 comps),0.5517063081695966,0.5511524548060848,0.5521754128317404,0.5515482639958909,0.5511040852100333
PCA(10 comps),0.5997931747673216,0.6004614398990943,0.6004520875612323,0.6004244148956926,0.5997856682314342
